Date,Recession indicator (pp)
2001-01-01,0.0
2001-02-01,0.0
2001-03-01,0.02
2001-04-01,0.09
2001-05-01,0.14
2001-06-01,0.22
2001-07-01,0.29
2001-08-01,0.48
2001-09-01,0.61
2001-10-01,0.68
2001-11-01,0.86
2001-12-01,0.92
2002-01-01,1.01
2002-02-01,1.01
2002-03-01,1.08
2002-04-01,1.02
2002-05-01,0.94
2002-06-01,0.78
2002-07-01,0.73
2002-08-01,0.72
2002-09-01,0.61
2002-10-01,0.57
2002-11-01,0.37
2002-12-01,0.31
2003-01-01,0.24
2003-02-01,0.2
2003-03-01,0.17
2003-04-01,0.23
2003-05-01,0.28
2003-06-01,0.27
2003-07-01,0.16
2003-08-01,0.17
2003-09-01,0.19
2003-10-01,0.26
2003-11-01,0.19
2003-12-01,0.0
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.01
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.02
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.01
2006-08-01,0.02
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.06
2007-02-01,0.03
2007-03-01,0.02
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.02
2007-07-01,0.05
2007-08-01,0.07
2007-09-01,0.1
2007-10-01,0.14
2007-11-01,0.14
2007-12-01,0.12
2008-01-01,0.15
2008-02-01,0.15
2008-03-01,0.23
2008-04-01,0.3
2008-05-01,0.42
2008-06-01,0.43
2008-07-01,0.49
2008-08-01,0.54
2008-09-01,0.62
2008-10-01,0.73
2008-11-01,0.81
2008-12-01,0.91
2009-01-01,0.89
2009-02-01,1.03
2009-03-01,1.02
2009-04-01,1.09
2009-05-01,1.05
2009-06-01,1.1
2009-07-01,1.02
2009-08-01,0.97
